회사명,고유번호
유한건설,372387
캐피탈링크,430061
해와달유동화전문유한회사,432546
JAPANLONGSHORTCAYMANPARTNERSL.P.,429603
Chanson&Affiliates,328207
디더블유씨이차유동화전문유한회사,428710
거버너스엠앤에이사모펀드4호,435233
크리스탈엠앤에이사모펀드1호,435242
LG공모주혼합형펀드,435251
맥쿼리IMM포세이돈3채권형사모,435260
맥쿼리IMM턴플러스전환형펀드,435288
맥쿼리아이엠엠프라임4채권혼합형사모펀드,435303
삼성프론티어제십삼차유동화전문유한회사,429746
부국씨앤씨,386043
코스팩,435932
화승산업개발,416618
크레디피아제삼십칠차유동화전문유한회사,429755
굿모닝시티,443551
덕성건설,443676
미디어렉스,406259
라인산업,435668
코시스테크놀로지,444161
동우기공,246426
세아모스마케팅,441492
에센디화장품,367507
세텔렘캐피탈,368445
한국휘쉬바크,371865
인산기업,245870
리젠스,407249
등림,215116
알티에스코리아,262521
승우금속,407577
MonetaryAuthorityOfSingapore,441988
연희정보통신,368940
이지소프텍,365059
대원광통신,410030
우성하우징,318884
체육복권판매,368250
삼원세라믹스,228183
이레인테크,426369
피엠텍,452470
와이비물산,368612
하버세이,449263
동서중공업,386478
홍삼나라,445887
용봉에너지,415169
성안산업,132901
삼손퍼라이트,235129
건륭건설,221144
화진실업,452610
두보물산,222453
주은삼차유동화전문,272591
동양코람유동화전문유한회사,286318
국민카드제육차유동화전문유한회사,401768
국민카드제십이차유동화전문유한회사,419059
세화시스템,420189
서원회계법인,260240
동신산업,178693
크레딧크리에이터유동화전문유한회사,350002
홍익종합건설,241184
홍익종합건설,224372
용담콘크리트,420055
"i-CapitalCo.,Ltd.",375108
로보노이드,422901
NortheastAsiaInvestmentsPte.Ltd.,420259
글로벌외환제오차유동화전문유한회사,420505
네모파트너즈에프앤브이,421674
에스티비,422956
한투이차유동화전문유한회사,315407
"NiceClaupCo.,Ltd.",419129
디워텍,421708
그린정보통신,400194
